Sponsor,Website,Logo
Major League Hacking,https://mlh.io/,mlh.png
ELE,http://www.ee.princeton.edu/,ele.jpeg
MAE,https://www.princeton.edu/mae/,mae.png
COS,https://www.cs.princeton.edu/ugrad/,cos.png
Entrepreneurship Club,http://www.princetoneclub.com/,eclub.png
